id,name,height,weight,base_experience,hp,attack,defense,special_attack,special_defense,speed,primary_type,secondary_type,n_types
1,bulbasaur,7,69,64,45,49,49,65,65,45,grass,poison,2
2,ivysaur,10,130,142,60,62,63,80,80,60,grass,poison,2
3,venusaur,20,1000,236,80,82,83,100,100,80,grass,poison,2
4,charmander,6,85,62,39,52,43,60,50,65,fire,,1
5,charmeleon,11,190,142,58,64,58,80,65,80,fire,,1
6,charizard,17,905,240,78,84,78,109,85,100,fire,flying,2
7,squirtle,5,90,63,44,48,65,50,64,43,water,,1
8,wartortle,10,225,142,59,63,80,65,80,58,water,,1
9,blastoise,16,855,239,79,83,100,85,105,78,water,,1
10,caterpie,3,29,39,45,30,35,20,20,45,bug,,1
11,metapod,7,99,72,50,20,55,25,25,30,bug,,1
12,butterfree,11,320,178,60,45,50,90,80,70,bug,flying,2
13,weedle,3,32,39,40,35,30,20,20,50,bug,poison,2
14,kakuna,6,100,72,45,25,50,25,25,35,bug,poison,2
15,beedrill,10,295,178,65,90,40,45,80,75,bug,poison,2
16,pidgey,3,18,50,40,45,40,35,35,56,normal,flying,2
17,pidgeotto,11,300,122,63,60,55,50,50,71,normal,flying,2
18,pidgeot,15,395,216,83,80,75,70,70,101,normal,flying,2
19,rattata,3,35,51,30,56,35,25,35,72,normal,,1
20,raticate,7,185,145,55,81,60,50,70,97,normal,,1
21,spearow,3,20,52,40,60,30,31,31,70,normal,flying,2
22,fearow,12,380,155,65,90,65,61,61,100,normal,flying,2
23,ekans,20,69,58,35,60,44,40,54,55,poison,,1
24,arbok,35,650,157,60,95,69,65,79,80,poison,,1
25,pikachu,4,60,112,35,55,40,50,50,90,electric,,1
26,raichu,8,300,218,60,90,55,90,80,110,electric,,1
27,sandshrew,6,120,60,50,75,85,20,30,40,ground,,1
28,sandslash,10,295,158,75,100,110,45,55,65,ground,,1
29,nidoran-f,4,70,55,55,47,52,40,40,41,poison,,1
30,nidorina,8,200,128,70,62,67,55,55,56,poison,,1
31,nidoqueen,13,600,227,90,92,87,75,85,76,poison,ground,2
32,nidoran-m,5,90,55,46,57,40,40,40,50,poison,,1
33,nidorino,9,195,128,61,72,57,55,55,65,poison,,1
34,nidoking,14,620,227,81,102,77,85,75,85,poison,ground,2
35,clefairy,6,75,113,70,45,48,60,65,35,fairy,,1
36,clefable,13,400,217,95,70,73,95,90,60,fairy,,1
37,vulpix,6,99,60,38,41,40,50,65,65,fire,,1
38,ninetales,11,199,177,73,76,75,81,100,100,fire,,1
39,jigglypuff,5,55,95,115,45,20,45,25,20,normal,fairy,2
40,wigglytuff,10,120,196,140,70,45,85,50,45,normal,fairy,2
41,zubat,8,75,49,40,45,35,30,40,55,poison,flying,2
42,golbat,16,550,159,75,80,70,65,75,90,poison,flying,2
43,oddish,5,54,64,45,50,55,75,65,30,grass,poison,2
44,gloom,8,86,138,60,65,70,85,75,40,grass,poison,2
45,vileplume,12,186,221,75,80,85,110,90,50,grass,poison,2
46,paras,3,54,57,35,70,55,45,55,25,bug,grass,2
47,parasect,10,295,142,60,95,80,60,80,30,bug,grass,2
48,venonat,10,300,61,60,55,50,40,55,45,bug,poison,2
49,venomoth,15,125,158,70,65,60,90,75,90,bug,poison,2
50,diglett,2,8,53,10,55,25,35,45,95,ground,,1
51,dugtrio,7,333,149,35,100,50,50,70,120,ground,,1
52,meowth,4,42,58,40,45,35,40,40,90,normal,,1
53,persian,10,320,154,65,70,60,65,65,115,normal,,1
54,psyduck,8,196,64,50,52,48,65,50,55,water,,1
55,golduck,17,766,175,80,82,78,95,80,85,water,,1
56,mankey,5,280,61,40,80,35,35,45,70,fighting,,1
57,primeape,10,320,159,65,105,60,60,70,95,fighting,,1
58,growlithe,7,190,70,55,70,45,70,50,60,fire,,1
59,arcanine,19,1550,194,90,110,80,100,80,95,fire,,1
60,poliwag,6,124,60,40,50,40,40,40,90,water,,1
61,poliwhirl,10,200,135,65,65,65,50,50,90,water,,1
62,poliwrath,13,540,230,90,95,95,70,90,70,water,fighting,2
63,abra,9,195,62,25,20,15,105,55,90,psychic,,1
64,kadabra,13,565,140,40,35,30,120,70,105,psychic,,1
65,alakazam,15,480,225,55,50,45,135,95,120,psychic,,1
66,machop,8,195,61,70,80,50,35,35,35,fighting,,1
67,machoke,15,705,142,80,100,70,50,60,45,fighting,,1
68,machamp,16,1300,227,90,130,80,65,85,55,fighting,,1
69,bellsprout,7,40,60,50,75,35,70,30,40,grass,poison,2
70,weepinbell,10,64,137,65,90,50,85,45,55,grass,poison,2
71,victreebel,17,155,221,80,105,65,100,70,70,grass,poison,2
72,tentacool,9,455,67,40,40,35,50,100,70,water,poison,2
73,tentacruel,16,550,180,80,70,65,80,120,100,water,poison,2
74,geodude,4,200,60,40,80,100,30,30,20,rock,ground,2
75,graveler,10,1050,137,55,95,115,45,45,35,rock,ground,2
76,golem,14,3000,223,80,120,130,55,65,45,rock,ground,2
77,ponyta,10,300,82,50,85,55,65,65,90,fire,,1
78,rapidash,17,950,175,65,100,70,80,80,105,fire,,1
79,slowpoke,12,360,63,90,65,65,40,40,15,water,psychic,2
80,slowbro,16,785,172,95,75,110,100,80,30,water,psychic,2
81,magnemite,3,60,65,25,35,70,95,55,45,electric,steel,2
82,magneton,10,600,163,50,60,95,120,70,70,electric,steel,2
83,farfetchd,8,150,132,52,90,55,58,62,60,normal,flying,2
84,doduo,14,392,62,35,85,45,35,35,75,normal,flying,2
85,dodrio,18,852,165,60,110,70,60,60,110,normal,flying,2
86,seel,11,900,65,65,45,55,45,70,45,water,,1
87,dewgong,17,1200,166,90,70,80,70,95,70,water,ice,2
88,grimer,9,300,65,80,80,50,40,50,25,poison,,1
89,muk,12,300,175,105,105,75,65,100,50,poison,,1
90,shellder,3,40,61,30,65,100,45,25,40,water,,1
91,cloyster,15,1325,184,50,95,180,85,45,70,water,ice,2
92,gastly,13,1,62,30,35,30,100,35,80,ghost,poison,2
93,haunter,16,1,142,45,50,45,115,55,95,ghost,poison,2
94,gengar,15,405,225,60,65,60,130,75,110,ghost,poison,2
95,onix,88,2100,77,35,45,160,30,45,70,rock,ground,2
96,drowzee,10,324,66,60,48,45,43,90,42,psychic,,1
97,hypno,16,756,169,85,73,70,73,115,67,psychic,,1
98,krabby,4,65,65,30,105,90,25,25,50,water,,1
99,kingler,13,600,166,55,130,115,50,50,75,water,,1
